predicted,sentiment,text
negative,negative,@beeline_rus она продолжаться уже довольно долг москва (центр и окраина)мытищи-везде перебой со связьювызов прерываться по нескраз 
negative,negative,http://tco/ftezqy84sp билайн не работать 
negative,positive,@nadyachernyavsk у ты работать в новость написать что только билайн включать лте(( 
negative,positive,ммм у вы наверно интернет и в телефон и в компьютер хорошо работать билайн ты такой билайн 
negative,positive,у билайн реально работать 4ж на 5ес 
negative,negative,это интернет соединение сотовый связь билайн в москва и область а они уже  4g рекламировать когда даже 3g нет  http://tco/my7bmxya8s 
positive,positive,добрый тан с сегодняшний день и билайн и кселл должный снижать цена интересно какой новый акция появляться 
negative,positive,надо купить нетбук и тыривать от билайн или еще кто — и постоянно быть онлайн) 
positive,negative, @anushtadevosyan: фас мочь оштрафовать вымпелком и apple из-за lte 
negative,negative,@beeline_rus да что у вы за домашний интернет в краснодар уже третий день работать с перебой так еще и в 10 раз медленно 
negative,negative, @arnaldy_sadiq: фас мочь оштрафовать вымпелком и apple из-за lte #news 
negative,negative, @fizyhepupaqi: фас мочь оштрафовать вымпелком и apple из-за lte #news 
negative,negative, @wedidozupu: ваш смс не доставлять я в лом билайн 0 http://tco/sojckxiu1p 
negative,positive,http://tco/e7mivgm1tr iphone 5s и 5c смочь работать в билайновский lte-сеть 
negative,negative,кто знать как переходить с билайн на мтс куда нужно идти 
negative,positive,теперь услуга чат у оператор мегафон билайн и мтс совместный и бесплатный до 1 июль 2009 
negative,negative,ппц: сидеть сдавать аварийный заявка в билайн и слышать в бэкграунд оператор обсуждать копрофилия :) 
negative,negative,@beeline_rus при переход на тариф все вкл l постопло нет скидка 15% счаствремя вы в односторпорядок прекращать дсогл этот нарушение 
negative,negative,@ilya_denisov билайн я бесить(((((( музыка не мочь послушать норма на тлф и еще человек на спартак гнать поубивать бы нахрен 
positive,negative,за билайн надо следить как за крыса в клетка на ход подметка резать чуть зазевываться — убирать тариф в архив и задер 
negative,negative,у оператор билайн возникать проблема с lte sim-карта 
positive,negative,наконец-то сменить этот идиотский билайн 
negative,positive,почему я видеть позитивный сдвиг в развитие билайн и негативный в развитие мегафон: на день в один из закрывать http://tco/aucvldb00a 
negative,negative,тупить твиттер или телефон или прога или с огромный вероятность @beeline_uz  
negative,negative,сегодня с утро быть вынуждать сменить оператор билайновский симка ацк заглючать — не принимать правильный pin после 3- 
negative,positive, @gakidogulavy: я снова онлайн :) большой спасибо за это билайн и луч позор в мегафон-кавказ свободный на стм домодедовский кто хоч 
negative,negative,хм ))) хоть что то хороший в этот дистр смочь настраивать интернет через тедефон и этот гребывать билайн модем )))) 
positive,positive,с 1 декабрь 2010 год по 31 январь 2011 год билайн вводить льготный тариф на международный gprs — 28 рубль за 80 килоб 
negative,positive,билайн вводить a-la-carte в твой интерес http://tco/o1bsa8davb 
negative,negative, @dzyzin: http://tco/menwmhfjy8 ваш смс не доставлять я в лом билайн 
negative,negative,сидеть зам и возмущаться: этот чортовый билайновцы звонить он вчера спрашивать что мол у я в пакет телевизор нет ка 
negative,negative, @lydahifadeto: сегодня с утро быть вынуждать сменить оператор билайновский симка ацк заглючать — не принимать правильный pin после 3- 
negative,negative,если у домен registrar:  sovintel-reg-ripn к кто обращаться по оно у билайн быстро не находить спецкалитка в сцайт 
negative,negative,билайновцы свой спам кинуть в почтовый ящик кто они нах нужный — у я инет в 2 раз дешевый и качественный 
negative,negative, @alexkkas: @gudkovd мтс дерьмо это да но оно еще жуликоватый и дорогой и еще билайн и мегафон тоже дерьмо и водафон особенно в гора 
negative,negative, @lezykokamok: фас мочь оштрафовать вымпелком и apple из-за lte #news 
negative,positive, @wildliw: раб мтс и мегафон уже мочь мигрировать в билайн за 100 руб :) http://tco/szfxm1pvqm 
positive,positive, @twerk_demi: - мамтеперь я переходить на билайн - хорошоно почему именно на билайн - да такпросто один знакомый посоветовать http://tc 
negative,negative,вчера с удивление узнавать что билайн больше не показывать евроспорт через свой телевидение ну вот а я хотеть wrc 
negative,negative,билайн надоедать пойти продаваться мегафон какой тариф посоветовать 
negative,negative,0010010104 решать вопрос с интернет уже второй день не работать  +7 727 2654557 братишка отвечать @_beeline_kz  срочно 
negative,negative,билайн вводить услуга по платный доступ к справочный службез 29 рубль вы сразу дозваниваться до билайн)))красавец 
negative,positive,билайн прибывать пользоваться :3 
negative,negative,когда там можно менять компания и номер оставлять свой  к черта этот #билайн сила мой нет 
negative,negative,что сегодня происходить с сеть билайн 
positive,negative, @veryhappyi: фас мочь оштрафовать вымпелком и apple из-за lte 
negative,negative,@beeline_rus считать что вы не совсем правильно списывать деньги за интернет(модем) 
negative,negative, @rk_drums: циничный @билайн и платный техподдержка http://tco/wrl2uyguse 
negative,negative,в чечня поджигать офис билайн  билайн жить на яркий сторона 
negative,negative,@beeline_rus интернет очень странно работать я неделя 2 назад писать но как то рука на  не доходить отправлять письмо на почта 
negative,negative,битый час убивать на то чтобы заставлять билайновский gsm-модем работать под 1061 три разный драйвер пять ребут оказ 
negative,negative,@beeline_rus @sapienseupdate в вао тоже самый сейчас сеть прыгать из e в 3g и обратно каждый 5 минута (( 
negative,negative,@konstantin3107 @beeline_rus и даже через год не помогать :)) 
negative,negative, @trollgnet: то быть билайн знать как отличать спам от нормальный смс но продолжать он вы присылать пока вы специальный смс не отпр 
negative,negative,@beeline_rus на счет быть 100р блин сейчас 54рвы офигелин номер 89674272707 
negative,negative, @netehumyneso: столько новый и интересный можно быть написать в твиттер но билайн решать что 62 рубль мало ноль и все на это 
negative,negative, @shahvv: билайн работать все плохо и плохо я быть скоро в мегафон 
negative,positive,@_abloud билайн реально вылезать из спячка чувствоваться некий подъем у они интересно быть наблюдать за развитие событие 
negative,negative,вчера приходить сообщение ваш смс не доставлять я в лом билайн 
negative,negative,@derejor @tatogoogl @beeline_rus нахер я услуга который я не заеазывать 
positive,negative, @viking3131: фас мочь оштрафовать вымпелком и apple из-за lte 
negative,positive, @litemobile: наш источник подтвержать что со вчерашний день на iphone 5s a1533 из сша работать lte от билайн :) как и не рст а1457 и 
negative,negative,в лента быть представитель билайн у я проблема со связь я звонить постоянно занимать хотя линия свободный это уже много месяц 
positive,positive, @avpopovskiy: lte на iphone 5s и 5c в сеть билайн и только у мы получать такой уведомление - смело обновляться http://tco/jsomojme 
negative,negative, @korobkov: билайн не включать я 3g чтобы писать в твиттер приходиться просить телефон у прохожий и друг натурально: быть телефон 
negative,negative,@beeline_rus мы вы платить а вы интернет отлючать и колл-центр на автоответчик переводить( 
negative,positive,@dudlik_spb @megafoncorp устраивать флэшмоб написать заявление на перевод номер в @beeline_rus у они lte на iphone к то же 
negative,positive,@beeline_rus спасибо за lte в москва но недостаток пока быть за предел центр ловить не всегда 
negative,negative,опять сука проблема с билайн быть тупой система списание деньги за интернет сделать 
negative,negative,@_beeline_kz добрый утро подключаться к мобильный тариф но у я исчезать весь деньги на телефон как такой мочь быть(свяжсо я пожа 
positive,negative,нтк-билайн блеать до сей пора разгребать последствие объединение и миграция ппц 
positive,negative,@a_dobryn @beeline_rus это звездец)) славянский билайн)) 
negative,negative,@beeline_rus услуга хайвей 3 гб с посуточный оплата снимать так будто она с помесячный оплата 
negative,positive, @jogolalyqami: я вчера позвонить из пчелайн и предлагать бесплатно переходить на они с адсл соглашаться по определенный причина теперь 
negative,negative,только что звонить из билайн говорятчто у я дома плохо ловить сеть потому что до 17 этаж тяжело доходить волна боже мой как смешно 
positive,negative, @malina_kon: фас мочь оштрафовать вымпелком и apple из-за lte 
positive,negative,часть абонент билайн оставаться без связь на юг россия 
negative,negative,вчера быть тренинг по билайн соверешенный тупой и непривычный принцип тарификация смешной название идиотский тарифный п 
negative,positive,#билайн покорять якутия – за короткий северный лето мы обеспечивать связь 150 поселок этот регион http://tco/beuhglw39m 
negative,negative,билайн сегодня гавно гавно блять билайн #билайн #beeline 
positive,positive,@masfka единственный оператор который уже смочь перенести абонент в свой сеть становиться вымпелком 
negative,negative,@hey_superhero ну здрааасть с билайн то полюбас надо валить 
positive,positive,вымпелком в москва запускать полномасштабный сеть lte 
negative,negative,то быть билайн знать как отличать спам от нормальный смс но продолжать он вы присылать пока вы специальный смс  http://tco/cvckazxbap 
negative,negative,многие ругать @ru_mts а у они очень отличный обслуживание корпоративный клиент в отличие от @beeline_rus который выражать фи 
positive,positive,вымпелком первый избавлять россиянин от мобильный рабство дальневосточный газета золото http://tco/vzn5sae3qn 
negative,negative,@beeline_rus добрый день купить симка с новый тариф  хайвей вылетать с интернет каждый минута это проходить 
negative,negative,отсоска билайн вообще хуеть с каждый день сегодня интернет не работать совсем как минимум час а когда работать то очень 
negative,negative,у все сегодня интернет от билайн тормозить 
negative,negative,билайн совсем офигеть 
negative,negative,@beeline_rus отправлять звониланеполадки с ваш сторона нет у вы на все один ответвот что я делать с ваш бесполезный модем 
positive,negative, @ruffinka: фас мочь оштрафовать вымпелком и apple из-за lte 
positive,positive, @xivogiqewul: в вид стабильный 128кбитного безлимитный интернет от пчелайн наконец решать попробовать на вкус танкионлайн :) на т 
negative,negative,у @beeline продолжаться проблема с сеть @lte наблюдать сегодняшний ситуация http://tco/sdyilgskbq 
positive,negative,трудность переход: мтс мегафон и билайн не хотеть отпускать абонент из мобильный рабство http://tco/3satfvsuhc 
positive,positive,айфон с билайн переходить на 4g: apple включать lte в смартфон iphone 5s и 5с в сеть вымпелком становиться пе http://tco/gskt7hjlxx 
negative,negative,@beeline_rus я больше 10 день ожидать ответ на заявление о расторжение договор это нормальный 
negative,positive,@12pushistik @nastya_aga_baby уж хорошо билайн 
negative,positive, @wakywuwojylu: хехдомашний иннет от билайн радовать старый тариф 450р переходить на новый скорость в 2 раз много по тот же цена н 
negative,negative, @jubey_aka_guru: билайн совсем офигеть 
negative,negative,#beeline @beeline_yug ну сказать как там дело с устранение авария сутки уже без интернет #краснодар 
negative,negative,вот такой суровый инет у билайн 
positive,positive,компания tele2 становиться второй после оао вымпелком мобильный оператор в россия который начинать осуществлять перенос номер в свой се 
negative,negative, @kyhysacuok: билайновцы свой спам кинуть в почтовый ящик кто они нах нужный — у я инет в 2 раз дешевый и качественный 
negative,negative, @tivodivageny: чертов кривая модем от билайн опять он весь вечер быть я дисконектить если быстро качать ненавидеть 
negative,positive,за три неделя израсходовать 619 мб трафик это бесплатный спасибо билайн 
negative,positive,если вы приедаться дизайн iphone 5 - брать iphone 5c) сомневаться) однако не жалеть) и бонус 4g от билайн летать) 
negative,positive,пока @netbynet в отключка до приход мастер @beeline_rus выручать http://tco/dsjhn6ni6j 
positive,positive,билайн включать lte для владелец новый iphone и ipad 
negative,negative,звонить из билайн помешать готовить рагу v2; спрашивать когда я наконец подключаться к их интернет приходиться спрашивать ког 
negative,negative,@belline_rus сказать что с билайнвторой день не мочь зайти в инет и позвонить сеть вообще нет что за хрень происходитчто с сеть 
negative,negative,@beeline_rus что с ваш тарифомпочий уже второй день нет сетия не мочь зайти в инет и позвонить 
negative,negative,@beeline_rus по месяц я не подходить вот в чем проблема 
negative,negative, @fupefodicita: оператор билайн бизнес ток что так смачно зевнуть в трубка что аж захотеться она повесить как голдни телеком мощно скатить 
negative,negative,уже месяц с билайн в щелково какой-то кошмар твориться 
negative,negative,на билайн у я быстро деньги сжираться на мтс вечный минус я не быть голосовать за битва хор 
negative,negative,@olyayadreeva @beeline_rus написать будто делать он одолжение свой общение :dd 
negative,negative,@yowkarola @beeline_rus популярный автоответчик )) ща написать написать письмо с жалоба в эл почта 
negative,negative,@beeline_rus c 11го число точно причем не работать и у родные также я не мочь с вебмани деньги снимать ибо не приходить смс подтверждение 
negative,negative,@beeline_rus нет  в разный место город  второй раз поменять симка из-за это 8-965-471-77-39 
negative,positive,@krasikoff мы сейчас расширяться скоро lte быть везде #билайн 
negative,negative,и снова три час сон где польза от весь это я спрашивать хренов билайн не удосуживаться доставлять я смс об отмена утренний встреча 
negative,positive,всегда приятно видеть новогодний реклама билайн с женя любич=) #женялюбич #новыйгод 
negative,negative,@beeline_rus год до оператор невозможный дозваниваться он всегда занимать это ж надо так плохо работать что нет отбой от возмущенный клиент 
negative,negative, @toloknov: в 100-й раз убедилсячто #мегафон и #теле2 владимир самый открытый для общение#билайн и #мтс вообще  не контактировать и жить 
negative,negative,некоторый абонент билайн сегодня оставаться без связь 
negative,positive,а тот время я одобрять переход со свой номер из ростелеком в билайн http://tco/aqaeygpp1q 
negative,negative,#beeline мудацкая контора дом кончаться интернет а это сборище дармоед только мозги трахать 
negative,positive,4g от билайн ускорять все http://tco/kwwvrc2kd2 
negative,negative, @gyqiculojivo: оператор билайн бизнес ток что так смачно зевнуть в трубка что аж захотеться она повесить как голдни телеком мощно скатить 
negative,positive,билайн заботиться 
negative,positive,@beeline_rus спасибо за быстрый помощьинтернет появляться #билайн  #beeline 
negative,negative,билайн инет - жесть  http://tco/00bl3i5jcr 
negative,negative,@beeline_rus 40 минута переключать от один специалист на другой  никто внятно не мочь ничего сказать теперь проблема временно решать 
negative,negative,друг мы испытывать дикий тормоз наш временный интернет подключение мочь быть задержка выход твитов что сказать билайн 
negative,negative,все готовиться к традиционный ежегодный падение биллинг билайн первый симптом детектед 
negative,positive,@vik_torovich: шикарный интернет сегодня спасибо @beeline_rus http://tco/ymkuikjeyv 
negative,negative,завтра ехать в харьков вернее на база отдых парус теле2 там нет быть в роуминг пчелайн с идиотский расценок и о 
negative,negative, @vlada_geparda: билайн дисконнэктинг пипл( уходить от они 
negative,negative,@beeline_rus а по телефон сказать что на services@beelineru надо скидывать много два неделя возвращать 
negative,positive, @synthetic_idiot: кхм оригинальный приложение киноход на ios 6 уже недоступный выручать приложение от билайн 
positive,positive,подключать безлимитный интернет билайн на свой samsung galaxy s4 теперь быть постить всякий тупой фоточка))) 
negative,negative,@beeline_rus нах они не упираться - ваш черно-белый список просто прекращать поддержка спам-агрегатор 
negative,negative, @gageronupol: звонить из билайн помешать готовить рагу v2; спрашивать когда я наконец подключаться к их интернет приходиться спрашивать ког 
negative,negative,@beeline_rus а вот почему при движение от полежаевская до кузьминки у вы e и иногда 3g а у @megafoncorp и@ru_mts lte) а ваш на плакат) 
positive,positive,@helloaikooou месяц пользоваться билайн нормальный интернет не жаловаться 
negative,negative,#билайн @beeline_rus  ты страшно разочаровывать все сотрудник офис на 1905 работать 0612-лишать премия и выговор 
negative,negative,билайн — ацтой выходить в интернет с телефон 
negative,positive, @zuqiqunigyc: по сотовый связь бвк дом хер где поймать а билайн весь деление казать 
negative,negative,не очень вериться но кажется я таки проводить нормальный проводной и-нет и я наконец отделываться от ненавистный билайновс 
negative,positive,американский iphone 5s и 5с работать в lte-сеть билайн http://tco/mr2jpohv6z #iphoneиipad 
negative,positive,3-ия мтс отказываться нормально функционировать зашибаться нужно срочно менять симка хотя бы на тот же билайн 
negative,negative,прощать билайн плохой связь и услуга по обслуживание нет даже в туалет ж/д вокзал 
negative,negative,тук-тук это я почтальон билайн приносить mss-ку для ваш девочка только я вы она не отдавать потомушта у вы настройка нет 
negative,negative,@johnsondz @_beeline_kz он везде печальный 
negative,negative,билайн ты в курс что 3g мочь нормально работать 
positive,positive,@beeline_rus добрый деньмобильный интернетдоступ появилсяскорость нормализоваться спасибо #билайн 
negative,negative,безупречный билайн говорить а нормальный оператор отслеживать дырка в покрытие через программа на айфон 
positive,negative,@beeline_rus ростов-на-дону постоянно невозможно обновлять программа загружать новость и тд 
negative,positive,@beeline_rus спасибо я уже сам дозваниваться и все разрешать хоть я быть и неправый абонентский плата списывать деньги вернуть 
negative,negative,интересно с какой стать билайн сметь рассылать я свой мерзкий спам офигеть совсем ( http://tco/rrtqsjc6av 
negative,negative,@beeline_rus такой отговорка вы писать каждый но примерно такой скорость всегда 
negative,negative,@beeline_rus поздравлять с день рождение спасибо самый убогий интернет планета http://tco/aob1g7uoo9 
negative,negative, @hewezehusyhu: вчера с удивление узнавать что билайн больше не показывать евроспорт через свой телевидение ну вот а я хотеть wrc 
negative,negative,@beeline_rus 3г появляться на минута затем надолго пропадать так и скакать туда-сюда 
negative,positive,@beeline_rus ой как круто) а в честь что такой щедрость) 
negative,negative,@beeline_rus  добрый ночидозваниваться до ваш служба поддержка опять не судьба номер 89619685833 разберитесьпожалуйста 
negative,positive,ну что же в целое я приятно удивлять lte от @beeline_rus и покрытие хороший и работать жаль только что место без 3g и lte в москва много 
negative,negative,@beeline_rus на мой номер опять снимать деньги хотя не иметь право уставать я уже в тысячный раз разбираться с один и тот же проблема 
positive,positive, @dislikefuka: билайн включать lte для владелец новый iphone и ipad 
negative,negative,@macov_net  делать лично я приятно вы денежка в кармашек положитьчем билайн 
negative,negative,@beeline_rus у интернет скорость никакой вообще смс не поступать я 
negative,negative,@beeline_rus хотеться купить именно в офис а не с доставка на дом почему на сайт нету номер телефон ваш офис чтобы позвонить =) 
negative,negative,45 рубль за 5 минута - это сильно beeline 
negative,negative,как же я доставать #beelinerus с понедельник переходить на #мтс  хорошо что номер сохраняться надоедать уже мучиться из за плохой связь 
negative,positive,наконец-то реклама не врать он существовать lte от #beeline  http://tco/w4izqwyfdr 
negative,positive,lte от билайн радовать на уровень домашний сеть это клевый http://tco/ztr9jtab9w 
negative,negative,dir300 — гавно корбина/билайн с pptp — гавно вместе — сказочный гавно 
negative,negative, @xizycofagaja: отсоска билайн вообще хуеть с каждый день сегодня интернет не работать совсем как минимум час а когда работать то очень 
negative,negative,к   у билайн кривая интернет авторизация они по виртуальный сеть требовать достаточно мощный процессор редко в какой ро 
negative,negative,ебаный билайн я ниховать не понимать как у я за буквально 20 минута сидение в инет со счет списываться 90р они надо все пы 
negative,negative,интернет сегодня оче плохой билайн отдавать я мой интернет 
negative,negative,пчелайн такой пчелайн что уже запчелайн я за какой то три час два разрыв гпрс сессия учитывать что уровень сигнал 
negative,positive,@nnikiforov а зачем она если давно быть билайн вай вай к то же частично бесплатный 
negative,negative,британский ученый скрещивать эмбрион kyivstar и beeline обещать быть этот монстр ужасный и противный 
negative,negative,@beeline_rus конечно не быть вы сам подключать платный услуга постоянно так и сгорать деньги абонент #билайн 
negative,positive, @vufykyryxyc: теперь услуга чат у оператор мегафон билайн и мтс совместный и бесплатный до 1 июль 2009 
negative,negative,качество связь билайн довольно низкий - связь пропадать периодически даже в центр город даже если не двигаться интернет затормаживать 
negative,negative,мама негодовать говорить что пополнение мобильный счет с помощь мобильный банк от #сбербанк @beeline_rus становиться брать комиссия 
negative,negative,@beeline_rus здравствуйтеуже 4 день не работать интернет в 3g сеть в геленджикеу всехсделать что-нибудьedge при это работать 
negative,negative,@beeline_rus раньшес помощь команда она у вы подключаться мгновенно теперь подключать услуга в личный кабинет приходиться ждать пол день 
negative,negative,@beeline_rus уважаемый билайнести я подключать услуга по продление скорость -это значитчто данный скорость я нужный сейчас 
positive,negative,@toloknov да нет на рынок услуга в россия нормальный компания #ростелеком #домра #билайн 
negative,positive,рекомендовать все переходить на безлимитный тариф билайн http://tco/av2apzgzjh  
negative,negative,@nikasamoh да билайн задолбать 
negative,positive, @misiyukmilana: как же я нравиться реклама билайн она волшебный  #билайн #тнт #новыйгод 
positive,positive,@zibraaaa ойпад на билайн кайфовать:3 
negative,negative,объявление о продажа 5ки много не действительно билайн хотеть все наебывать 
negative,negative, @bacegomanuda: весь день пытаться поговорить с наш корпоративный менеджер в билайн трижды оставлять свой контакт чтобы она я переть 
negative,positive,@centr_mts @ru_mts когда мтс поддерживать lte для iphone 5s на какой модель   ps #beeline #megafon сразу отвечать на твита 
negative,negative,@_beeline_kz я требовать чтобы восстанавливать нормальный ip в мой город работать невозможно с некоторый сайт + быть шанс что забанить пк 
negative,negative, @icylucaqap: тук-тук это я почтальон билайн приносить mss-ку для ваш девочка только я вы она не отдавать потомушта у вы настройка нет 
negative,negative,@danelyansuzanna не знать весь отлично и никогда не быть как у ты) просто у билайн часто бывать такой просто ни за что деньги сдирать 
positive,negative,скорость интернет через модем #beeline_kg ужасно медленный в любой время сутки 
positive,negative,долой реклама от билайн — 
negative,negative,@wylsacom магазин билайн вобще офигеть iphone 5s продаюют 
negative,negative, @jogolalyqami: вот билайн разводить лохов сначала подключать бесплатно услуга без мой согласие а через неделя говорить что за этот усл 
negative,negative,интернет еле-еле грузить чертов билайн 
positive,negative,наконец-то подулючать интернет на телефон простаивать в сервис билайн 40минут#жесть 
negative,positive,@beeline_rus спасибо) помогать весь работать 
negative,negative,@beeline_rus давать я вы сюда скидывать номер 9050039560 устранять пожалуйста а то я только сегодня симка купить а уже проблема 
negative,negative,@beeline_rus некоторый ваш диллер-барыга продавать пакет связь за 170на счет 150на вопрос почему так они отвечать билайн  
negative,negative,что со связьюнадоедать уже#зло#билайн#доставать#что будетдальша 
